#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 10 01 05 06   5  4.8  5.4 99.00 99.00 99.00 999 1011.4  21.2  24.6 999.0 99.0 99.00
2022 10 01 05 12   6  4.7  5.2 99.00 99.00 99.00 999 1011.3  21.2  24.2 999.0 99.0 99.00
2022 10 01 05 18   7  4.6  5.2 99.00 99.00 99.00 999 1011.4  21.2  24.2 999.0 99.0 99.00
2022 10 01 05 24   9  4.7  5.2 99.00 99.00 99.00 999 1011.3  21.1  24.3 999.0 99.0 99.00
2022 10 01 05 30  11  4.5  5.3 99.00 99.00 99.00 999 1011.3  21.1  23.9 999.0 99.0 99.00
2022 10 01 05 36   7  4.4  5.1 99.00 99.00 99.00 999 1011.2  21.1  24.5 999.0 99.0 99.00
2022 10 01 05 42   7  4.6  5.1 99.00 99.00 99.00 999 1011.1  21.1  24.6 999.0 99.0 99.00
2022 10 01 05 48   4  4.9  5.5 99.00 99.00 99.00 999 1011.1  21.1  24.0 999.0 99.0 99.00
2022 10 01 05 54   7  4.8  5.6 99.00 99.00 99.00 999 1011.1  21.0  24.3 999.0 99.0 99.00
2022 10 01 06 00   8  5.1  5.7 99.00 99.00 99.00 999 1011.1  21.1  24.5 999.0 99.0 99.00
2022 10 01 06 06   7  4.9  5.6 99.00 99.00 99.00 999 1011.1  21.1  24.6 999.0 99.0 99.00
2022 10 01 06 12   3  4.7  5.5 99.00 99.00 99.00 999 1011.1  21.0  24.7 999.0 99.0 99.00
2022 10 01 06 18   7  5.1  5.7 99.00 99.00 99.00 999 1011.0  21.0  24.9 999.0 99.0 99.00
2022 10 01 06 24   3  5.3  5.7 99.00 99.00 99.00 999 1010.9  21.0  25.0 999.0 99.0 99.00
2022 10 01 06 30   9  5.0  5.6 99.00 99.00 99.00 999 1010.9  21.0  24.9 999.0 99.0 99.00
2022 10 01 06 36   6  5.0  5.6 99.00 99.00 99.00 999 1011.0  21.0  24.5 999.0 99.0 99.00
2022 10 01 06 42   5  5.0  5.4 99.00 99.00 99.00 999 1010.9  21.0  24.7 999.0 99.0 99.00
2022 10 01 06 48   5  5.1  5.7 99.00 99.00 99.00 999 1010.9  21.0  25.0 999.0 99.0 99.00
2022 10 01 06 54   5  5.3  6.1 99.00 99.00 99.00 999 1010.9  21.0  25.3 999.0 99.0 99.00
2022 10 01 07 00   3  5.5  5.9 99.00 99.00 99.00 999 1010.9  21.0  25.3 999.0 99.0 99.00
2022 10 01 07 06   5  5.2  6.2 99.00 99.00 99.00 999 1010.8  21.0  25.2 999.0 99.0 99.00
2022 10 01 07 12   5  4.9  5.5 99.00 99.00 99.00 999 1010.8  20.9  25.2 999.0 99.0 99.00
2022 10 01 07 18   5  4.7  5.5 99.00 99.00 99.00 999 1010.8  20.8  25.3 999.0 99.0 99.00
2022 10 01 07 24   7  5.1  5.9 99.00 99.00 99.00 999 1010.8  20.8  25.2 999.0 99.0 99.00
2022 10 01 07 30   4  4.9  5.7 99.00 99.00 99.00 999 1010.8  20.8  24.7 999.0 99.0 99.00
2022 10 01 07 36   7  5.2  5.9 99.00 99.00 99.00 999 1010.8  20.7  23.8 999.0 99.0 99.00
2022 10 01 07 42   8  5.6  6.3 99.00 99.00 99.00 999 1010.8  20.8  23.7 999.0 99.0 99.00
2022 10 01 07 48  10  5.3  6.5 99.00 99.00 99.00 999 1010.8  20.8  22.4 999.0 99.0 99.00
2022 10 01 07 54   7  5.1  6.3 99.00 99.00 99.00 999 1010.8  20.6  22.3 999.0 99.0 99.00
2022 10 01 08 00   7  5.0  6.1 99.00 99.00 99.00 999 1010.8  20.5  21.8 999.0 99.0 99.00
2022 10 01 08 06  16  6.2  6.9 99.00 99.00 99.00 999 1010.8  20.7  21.5 999.0 99.0 99.00
2022 10 01 08 12   7  5.5  6.4 99.00 99.00 99.00 999 1010.8  20.6  21.7 999.0 99.0 99.00
2022 10 01 08 18   9  5.3  6.2 99.00 99.00 99.00 999 1010.8  20.6  21.5 999.0 99.0 99.00
2022 10 01 08 24   9  5.6  6.3 99.00 99.00 99.00 999 1010.8  20.5  21.4 999.0 99.0 99.00
2022 10 01 08 30   8  5.4  6.1 99.00 99.00 99.00 999 1010.9  20.4  21.5 999.0 99.0 99.00
2022 10 01 08 36  12  6.1  6.4 99.00 99.00 99.00 999 1010.9  20.5  21.2 999.0 99.0 99.00
2022 10 01 08 42  13  5.8  6.6 99.00 99.00 99.00 999 1010.9  20.5  21.5 999.0 99.0 99.00
2022 10 01 08 48  13  5.7  6.4 99.00 99.00 99.00 999 1010.9  20.5  21.2 999.0 99.0 99.00
2022 10 01 08 54  17  5.4  6.5 99.00 99.00 99.00 999 1010.8  20.4  21.1 999.0 99.0 99.00
2022 10 01 09 00  16  5.4  6.4 99.00 99.00 99.00 999 1010.9  20.4  21.1 999.0 99.0 99.00
2022 10 01 09 06  14  5.9  6.3 99.00 99.00 99.00 999 1010.8  20.4  21.1 999.0 99.0 99.00
2022 10 01 09 12  17  5.8  6.6 99.00 99.00 99.00 999 1010.9  20.4  21.0 999.0 99.0 99.00
2022 10 01 09 18  18  5.6  6.3 99.00 99.00 99.00 999 1011.0  20.3  21.0 999.0 99.0 99.00
2022 10 01 09 24  22  5.4  6.5 99.00 99.00 99.00 999 1011.1  20.3  21.0 999.0 99.0 99.00
2022 10 01 09 30  17  5.8  6.2 99.00 99.00 99.00 999 1011.1  20.2  21.0 999.0 99.0 99.00
2022 10 01 09 36  12  5.6  6.2 99.00 99.00 99.00 999 1011.2  20.2  21.0 999.0 99.0 99.00
2022 10 01 09 42  18  6.0  6.6 99.00 99.00 99.00 999 1011.3  20.2  20.9 999.0 99.0 99.00
2022 10 01 09 48  19  6.0  6.7 99.00 99.00 99.00 999 1011.3  20.1  20.9 999.0 99.0 99.00
2022 10 01 09 54  12  5.7  6.1 99.00 99.00 99.00 999 1011.4  20.1  20.8 999.0 99.0 99.00
2022 10 01 10 00  12  5.8  6.5 99.00 99.00 99.00 999 1011.4  20.0  20.8 999.0 99.0 99.00
2022 10 01 10 06  15  5.8  6.5 99.00 99.00 99.00 999 1011.5  20.0  20.8 999.0 99.0 99.00
2022 10 01 10 12  11  5.6  6.2 99.00 99.00 99.00 999 1011.6  19.9  20.9 999.0 99.0 99.00
2022 10 01 10 18  11  5.6  6.3 99.00 99.00 99.00 999 1011.7  19.9  20.9 999.0 99.0 99.00
2022 10 01 10 24   9  5.6  6.6 99.00 99.00 99.00 999 1011.7  19.8  20.8 999.0 99.0 99.00
2022 10 01 10 30  13  5.5  6.2 99.00 99.00 99.00 999 1011.8  19.8  20.9 999.0 99.0 99.00
2022 10 01 10 36  13  5.0  6.1 99.00 99.00 99.00 999 1011.9  19.8  20.9 999.0 99.0 99.00
